BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *   10.6.0.127/32    10.111.40.121                          0 13979 65188 ?
 *   10.6.0.129/32    10.111.40.121                          0 13979 64577 ?
 *   10.6.0.130/32    10.111.40.121                          0 13979 64555 ?
 *   10.6.0.132/32    10.111.40.121                          0 13979 64664 ?
 *   10.6.0.133/32    10.111.40.121                          0 13979 65431 ?
 *   10.6.0.141/32    10.111.40.121                          0 13979 65018 ?
 *   10.6.0.142/32    10.111.40.121                          0 13979 64032 ?
 *   10.6.0.143/32    10.111.40.121                          0 13979 64026 ?
 *   10.6.0.145/32    10.111.40.121                          0 13979 65131 ?
 *   10.6.0.146/32    10.111.40.121                          0 13979 64383 ?
 *   10.6.0.147/32    10.111.40.121                          0 13979 64501 ?
 *   10.6.0.148/32    10.111.40.121                          0 13979 64522 ?
 *   10.6.0.149/32    10.111.40.121                          0 13979 64548 ?
 *   10.6.0.150/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.151/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.152/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.153/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.154/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.155/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.156/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.157/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.158/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.159/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.160/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.161/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.164/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.165/32    10.111.40.121                          0 13979 64623 ?
 *   10.6.0.166/32    10.111.40.121                          0 13979 64535 ?
 *   10.6.0.167/32    10.111.40.121                          0 13979 64239 ?
 *   10.6.0.178/32    10.111.40.121                          0 13979 64029 ?
 *   10.6.0.179/32    10.111.40.121                          0 13979 64645 ?
 *   10.6.0.180/32    10.111.40.121                          0 13979 64562 ?
 *   10.6.0.182/32    10.111.40.121                          0 13979 64568 ?
 *   10.6.0.183/32    10.111.40.121                          0 13979 64531 ?
 *   10.6.0.184/32    10.111.40.121                          0 13979 64581 ?
 *   10.6.0.186/32    10.111.40.121                          0 13979 64198 ?
 *   10.6.0.187/32    10.111.40.121                          0 13979 64033 ?
 *   10.6.0.188/32    10.111.40.121                          0 13979 65001 64820 64836 65000 ?
 *   10.6.0.189/32    10.111.40.121                          0 13979 64576 ?
 *   10.6.0.190/32    10.111.40.121                          0 13979 64530 ?
 *   10.6.0.191/32    10.111.40.121                          0 13979 64556 ?
 *   10.6.0.192/32    10.111.40.121                          0 13979 64504 ?
 *   10.6.0.193/32    10.111.40.121                          0 13979 64538 ?
 *   10.6.0.194/32    10.111.40.121                          0 13979 64545 ?
 *   10.6.0.195/32    10.111.40.121                          0 13979 64511 ?
 *   10.6.0.196/32    10.111.40.121                          0 13979 64308 ?
 *   10.6.0.197/32    10.111.40.121                          0 13979 64324 ?
 *   10.6.0.198/32    10.111.40.121                          0 13979 64326 ?
 *   10.6.0.199/32    10.111.40.121                          0 13979 64529 ?
 *   10.6.0.200/32    10.111.40.121                          0 13979 64533 ?
 *   10.6.0.201/32    10.111.40.121                          0 13979 64609 ?
 *   10.6.0.202/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.203/32    10.111.40.121                          0 13979 64337 ?
 *   10.6.0.204/32    10.111.40.121                          0 13979 64487 ?
 *   10.6.0.205/32    10.111.40.121                          0 13979 64310 ?
 *   10.6.0.207/32    10.111.40.121                          0 13979 64901 64831 64900 64900 64900 64900 64999 i
 *   10.6.0.222/32    10.111.40.121                          0 13979 64295 ?
 *   10.6.0.223/32    10.111.40.121                          0 13979 64304 ?
 *   10.6.0.224/32    10.111.40.121                          0 13979 64567 ?
 *   10.6.0.225/32    10.111.40.121                          0 13979 65386 ?
 *   10.6.0.228/32    10.111.40.121                          0 13979 64625 ?
 *   10.6.0.240/32    10.111.40.121                          0 13979 64525 ?
 *   10.6.0.241/32    10.111.40.121                          0 13979 64566 ?
 *   10.6.0.242/32    10.111.40.121                          0 13979 64638 ?
 *   10.6.0.243/32    10.111.40.121                          0 13979 65187 ?
 *   10.6.0.244/32    10.111.40.121                          0 13979 64027 ?
 *   10.6.0.249/32    10.111.40.121                          0 13979 65148 ?
 *   10.6.0.250/32    10.111.40.121                          0 13979 64756 ?
 *   10.6.0.251/32    10.111.40.121                          0 13979 64046 ?
 *   10.6.0.252/32    10.111.40.121                          0 13979 64071 ?
 *   10.6.0.253/32    10.111.40.121                          0 13979 64071 ?
 *   10.6.0.254/32    10.111.40.121                          0 13979 64071 ?
 *   10.6.1.10/32     10.111.40.121                          0 13979 64071 ?
 *   10.6.1.11/32     10.111.40.121                          0 13979 64071 ?
 *   10.6.1.12/32     10.111.40.121                          0 13979 64071 ?
 *   10.6.1.13/32     10.111.40.121                          0 13979 64071 ?
 *   10.6.1.14/32     10.111.40.121                          0 13979 64071 ?
 *   10.6.1.15/32     10.111.40.121                          0 13979 64044 ?
 *   10.6.1.16/32     10.111.40.121                          0 13979 64796 ?
 *   10.6.1.17/32     10.111.40.121                          0 13979 64011 ?
 *   10.6.1.18/32     10.111.40.121                          0 13979 64307 ?
 *   10.6.1.20/32     10.111.40.121                          0 13979 64031 ?
 *   10.6.1.22/32     10.111.40.121                          0 13979 64022 ?
 *   10.6.1.23/32     10.111.40.121                          0 13979 65206 ?
 *   10.6.1.25/32     10.111.40.121                          0 13979 64010 ?
 *   10.6.1.26/32     10.111.40.121                          0 13979 64087 ?
 *   10.6.1.27/32     10.111.40.121                          0 13979 64035 ?
 *   10.6.1.28/32     10.111.40.121                          0 13979 64475 ?
 *   10.6.1.29/32     10.111.40.121                          0 13979 64102 ?
 *   10.6.1.30/32     10.111.40.121                          0 13979 64751 ?
 *   10.6.1.31/32     10.111.40.121                          0 13979 64573 ?
 *   10.6.1.32/32     10.111.40.121                          0 13979 64795 ?
 *   10.6.1.33/32     10.111.40.121                          0 13979 64639 ?
 *   10.6.1.34/32     10.111.40.121                          0 13979 65398 ?
 *   10.6.1.35/32     10.111.40.121                          0 13979 64126 ?
 *   10.6.1.40/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.41/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.42/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.43/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.44/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.45/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.46/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.47/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.48/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.49/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.50/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.51/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.52/32     10.111.40.121                          0 13979 64460 ?
 *   10.6.1.54/32     10.111.40.121                          0 13979 64765 ?
 *   10.6.1.55/32     10.111.40.121                          0 13979 64797 ?
 *   10.6.1.56/32     10.111.40.121                          0 13979 64763 ?
 *   10.6.1.57/32     10.111.40.121                          0 13979 64302 ?
 *   10.6.1.58/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.59/32     10.111.40.121                          0 13979 64063 ?
 *   10.6.1.60/32     10.111.40.121                          0 13979 64465 ?
 *   10.6.1.61/32     10.111.40.121                          0 13979 65001 64820 64837 ?
 *   10.6.1.62/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.63/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.64/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.65/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.66/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.67/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.68/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.69/32     10.111.40.121                          0 13979 64901 64831 64900 64900 64900 64900 ?
 *   10.6.1.71/32     10.111.40.121                          0 13979 64750 ?
 *   10.6.1.72/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.74/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.75/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.76/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.77/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.78/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.79/32     10.111.40.121                          0 13979 65198 ?
 *   10.6.1.81/32     10.111.40.121                          0 13979 64203 ?
 *   10.6.1.85/32     10.111.40.121                          0 13979 64204 ?
 *   10.6.1.88/32     10.111.40.121                          0 13979 64479 ?
 *   10.6.1.90/32     10.111.40.121                          0 13979 64015 ?
 *   10.6.1.91/32     10.111.40.121                          0 13979 64012 ?
 *   10.6.1.98/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.99/32     10.111.40.121                          0 13979 64582 ?
 *   10.6.1.100/32    10.111.40.121                          0 13979 64023 ?
 *   10.6.1.102/32    10.111.40.121                          0 13979 65049 ?
 *   10.6.1.107/32    10.111.40.121                          0 13979 64187 ?
 *   10.6.1.108/32    10.111.40.121                          0 13979 64112 ?
