
BGP table version is 294092, local router ID is 10.111.249.195
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>  10.6.68.16/28    10.82.28.1                             0 65179 64950 64238 ?
 *>  10.6.69.208/28   10.82.28.1                             0 65179 64950 64191 ?
 *>  10.6.71.160/27   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.6.72.112/28   10.82.28.1                             0 65179 64950 64387 ?
 *>  10.6.75.64/28    10.82.28.3                             0 65179 64951 64756 ?
 *>  10.6.75.128/28   10.82.28.1                             0 65179 64950 ?
 *>  10.6.76.80/28    10.82.28.1                             0 65179 64950 64087 ?
 *>  10.6.76.176/28   10.82.28.3                             0 65179 64951 ?
 *>  10.6.78.112/28   10.82.28.1                             0 65179 64950 ?
 *>  10.6.79.128/28   10.82.28.1                             0 65179 64950 64337 ?
 *>  10.6.82.144/28   10.82.28.3                             0 65179 64951 ?
 *>  10.6.82.160/28   10.82.28.3                             0 65179 64951 ?
 *>  10.6.84.16/28    10.82.28.3                             0 65179 64951 ?
 *>  10.6.84.32/28    10.82.28.1                             0 65179 64950 ?
 *>  10.6.86.112/28   10.82.28.3                             0 65179 64950 ?
 *>  10.6.87.16/28    10.82.28.1                             0 65179 64950 64484 ?
 *>  10.6.88.128/28   10.82.28.1                             0 65179 64950 64030 ?
 *>  10.6.89.16/28    10.82.28.3                             0 65179 64951 ?
 *>  10.6.89.32/28    10.82.28.3                             0 65179 64951 64258 ?
 *>  10.6.89.48/28    10.82.28.1                             0 65179 64950 64250 ?
 *>  10.6.89.64/28    10.82.28.3                             0 65179 64951 ?
 *>  10.6.90.64/28    10.82.28.3                             0 65179 64951 64041 ?
 *>  10.7.2.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.3.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.4.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.6.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.7.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.8.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.9.0/24      10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.10.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.12.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.13.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.14.0/23     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.16.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.17.0/24     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.31.0/29     10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.31.128/25   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.224.136/31  10.82.28.3                             0 65179 64951 64258 ?
 *>  10.7.224.138/31  10.82.28.3                             0 65179 64951 64258 ?
 *>  10.7.224.140/31  10.82.28.1                             0 65179 64950 64250 ?
 *>  10.7.224.142/31  10.82.28.1                             0 65179 64950 64250 ?
 *>  10.7.225.48/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.50/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.52/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.54/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.82/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.84/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.86/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.88/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.90/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.92/31   10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.122/31  10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.225.164/31  10.82.28.1                             0 65179 64950 64191 ?
 *>  10.7.225.166/31  10.82.28.1                             0 65179 64950 64191 ?
 *>  10.7.226.112/31  10.82.28.1                             0 65179 64950 64030 ?
 *>  10.7.226.114/31  10.82.28.1                             0 65179 64950 64030 ?
 *>  10.7.227.96/31   10.82.28.3                             0 65179 64951 64756 ?
 *>  10.7.227.98/31   10.82.28.3                             0 65179 64951 64756 ?
 *>  10.7.228.160/31  10.82.28.1                             0 65179 64950 ?
 *>  10.7.228.162/31  10.82.28.1                             0 65179 64950 ?
 *>  10.7.228.232/31  10.82.28.1                             0 65179 64950 64337 ?
 *>  10.7.228.234/31  10.82.28.1                             0 65179 64950 64337 ?
 *>  10.7.230.180/31  10.82.28.3                             0 65179 64951 ?
 *>  10.7.231.44/31   10.82.28.1                             0 65179 64951 65000 ?
 *>  10.7.231.46/31   10.82.28.1                             0 65179 64951 65000 ?
 *>  10.7.231.114/31  10.82.28.3                             0 65179 64950 64484 ?
 *>  10.7.231.126/31  10.82.28.1                             0 65179 64950 64484 ?
 *>  10.7.238.100/31  10.82.28.3                             0 65179 64951 64041 ?
 *>  10.7.238.102/31  10.82.28.3                             0 65179 64951 64041 ?
 *>  10.7.238.110/31  10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.238.112/31  10.82.28.1                             0 65179 64950 64238 ?
 *>  10.7.238.216/31  10.82.28.1                             0 65179 64950 64239 ?
 *>  10.7.238.220/31  10.82.28.1                             0 65179 64950 64239 ?
 *>  10.7.244.16/29   10.82.28.1                             0 65179 64950 64250 ?
 *>  10.7.244.34/31   10.82.28.1                             0 65179 64950 64087 ?
 *>  10.7.244.36/31   10.82.28.3                             0 65179 64950 64087 ?
 *>  10.10.161.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.163.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.164.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.165.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.166.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.167.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.168.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.169.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.170.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.171.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.172.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.173.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.174.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.10.176.0/24   10.82.28.1                             0 65179 64950 64239 ?
 *>  10.20.249.0/24   10.82.28.1                             0 65179 64950 64337 ?
 *>  10.20.250.0/24   10.82.28.1                             0 65179 64950 64337 ?
 *>  10.20.251.0/25   10.82.28.1                             0 65179 64950 64337 ?
 *>  10.20.251.128/25 10.82.28.1                             0 65179 64950 64337 ?
 *>  10.20.252.0/25   10.82.28.1                             0 65179 64950 64337 ?
 *>  10.21.17.48/29   10.82.28.1                             0 65179 64950 64250 ?
 *>  10.25.0.0/20     10.82.28.1                             0 65179 65177 12076 i
 *>  10.25.16.0/23    10.82.28.3                             0 65179 65177 12076 i
 *>  10.25.18.0/23    10.82.28.1                             0 65179 65177 12076 i
 *>  10.25.20.0/22    10.82.28.1                             0 65179 65177 12076 i
 *>  10.25.24.0/22    10.82.28.3                             0 65179 65177 12076 i
 *>  10.25.32.0/24    10.82.28.1                             0 65179 65177 12076 i
 *>  10.25.112.0/20   10.82.28.1                             0 65179 65177 12076 i
 *>  10.25.128.0/20   10.82.28.1                             0 65179 65177 12076 i
 *>  10.25.240.0/20   10.82.28.3                             0 65179 65177 12076 i
 *>  10.33.48.0/28    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.48.16/28   10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.48.32/28   10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.48.48/28   10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.50.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.52.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.52.128/25  10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.53.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.53.128/25  10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.54.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.54.128/25  10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.55.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.56.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.56.128/25  10.82.28.1                             0 65179 64950 65256 ?
 *>  10.33.57.0/25    10.82.28.1                             0 65179 64950 65256 ?
 *>  10.35.100.0/25   10.82.28.3                             0 65179 64951 ?
